GLM,contrast,timelock,region,peak
GLM_04.2c_cortex,contr1,offer-timelocked,dACC,-0.121159706879855
GLM_04.2c_cortex,contr1,offer-timelocked,DRN,-0.184281937557273
GLM_04.2c_cortex,contr1,offer-timelocked,AI,-0.0088632783449522
GLM_04.2c_cortex,contr1,offer-timelocked,dACC,-0.0429436378438303
GLM_04.2c_cortex,contr1,offer-timelocked,DRN,-0.287666628054812
GLM_04.2c_cortex,contr1,offer-timelocked,AI,-0.111732011628465
GLM_04.2c_cortex,contr1,offer-timelocked,dACC,-0.305338013367461
GLM_04.2c_cortex,contr1,offer-timelocked,DRN,0.187180805807069
GLM_04.2c_cortex,contr1,offer-timelocked,AI,-0.0479322235191759
GLM_04.2c_cortex,contr1,offer-timelocked,dACC,0.0478339206453338
GLM_04.2c_cortex,contr1,offer-timelocked,DRN,0.0101520937581343
GLM_04.2c_cortex,contr1,offer-timelocked,AI,0.00375456151102408
GLM_04.2c_cortex,contr1,offer-timelocked,dACC,0.156577343628559
GLM_04.2c_cortex,contr1,offer-timelocked,DRN,-0.138788347468845
GLM_04.2c_cortex,contr1,offer-timelocked,AI,-0.208742381927159
GLM_04.2c_cortex,contr1,offer-timelocked,dACC,-0.372538444168929
