subject,mag,prev_policy,mu_val_pe_graph,m
107,10,0,-0.1847670895389755,0
107,10,0,0.07516619199555553,0.6666666666666666
107,10,0,0.4568881645622222,0
107,10,0,0.8463582874052864,0.4444444444444444
107,10,1,-0.9292921247632744,0
107,10,1,-0.42912256917699115,0
107,10,1,-0.1847670895389755,0.5
107,10,1,0.07516619199555553,0
107,10,1,0.4568881645622222,1
107,10,1,0.8463582874052864,0.5
107,10,NA,-2.2421644878318583,0
107,10,NA,-1.3527611886488888,0
107,10,NA,-0.9292921247632744,0
107,50,1,-1.3527611886488888,1
107,50,1,-0.42912256917699115,1
107,50,1,0.07516619199555553,1
107,50,1,0.4568881645622222,1
107,50,1,0.8463582874052864,1
107,50,1,1.370355383663697,1
107,50,1,2.3996080321492204,1
107,50,NA,-0.42912256917699115,1
107,50,NA,0.07516619199555553,1
107,50,NA,2.3996080321492204,1
109,5,0,-2.2421644878318583,0.5
109,5,0,-1.3527611886488888,0.5
109,5,0,-0.9292921247632744,0
109,5,0,-0.42912256917699115,0.625
109,5,0,-0.1847670895389755,0.2
109,5,0,0.4568881645622222,0.1111111111111111
109,5,0,0.8463582874052864,0.5
109,5,1,-2.2421644878318583,0.75
109,5,1,-1.3527611886488888,0.4
109,5,1,-0.42912256917699115,0
109,5,1,-0.1847670895389755,0
109,5,1,0.4568881645622222,0.6666666666666666
109,5,1,0.8463582874052864,0.5
109,5,NA,-2.2421644878318583,0.3333333333333333
109,5,NA,-0.42912256917699115,0
109,10,0,-2.2421644878318583,1
109,10,0,-0.9292921247632744,0.5
109,10,0,-0.1847670895389755,1
109,10,0,0.07516619199555553,1
109,10,0,0.8463582874052864,1
109,10,1,-2.2421644878318583,0.8571428571428571
109,10,1,-1.3527611886488888,1
109,10,1,-0.9292921247632744,0.9
109,10,1,-0.1847670895389755,0.8333333333333334
109,10,1,0.07516619199555553,0.5
109,10,1,0.8463582874052864,0.25
109,10,NA,-2.2421644878318583,1
109,10,NA,-0.1847670895389755,1
109,10,NA,0.07516619199555553,1
109,10,NA,0.8463582874052864,1
109,50,1,-0.42912256917699115,1
109,50,1,0.07516619199555553,1
109,50,1,0.4568881645622222,1
109,50,1,0.8463582874052864,1
109,50,1,1.370355383663697,1
109,50,1,2.3996080321492204,1
109,50,NA,0.4568881645622222,1
109,50,NA,2.3996080321492204,1
110,5,0,-2.2421644878318583,0
110,5,0,-1.3527611886488888,0
110,5,0,-0.9292921247632744,0
110,5,0,-0.42912256917699115,0.1
110,5,0,-0.1847670895389755,0.07692307692307693
110,5,0,0.4568881645622222,0
110,5,0,0.8463582874052864,0
110,5,1,-0.42912256917699115,1
110,5,1,-0.1847670895389755,0
110,5,NA,-2.2421644878318583,0
110,5,NA,-1.3527611886488888,0
110,5,NA,0.4568881645622222,0
110,10,0,-2.2421644878318583,0.3333333333333333
110,10,0,-1.3527611886488888,0.2
110,10,0,-0.9292921247632744,0.5
110,10,0,-0.1847670895389755,0.5
110,10,0,0.07516619199555553,0.5
110,10,0,0.8463582874052864,1
110,10,1,-2.2421644878318583,0
110,10,1,-1.3527611886488888,0.5
110,10,1,-0.9292921247632744,0.25
110,10,1,0.07516619199555553,0.5714285714285714
110,10,1,0.8463582874052864,0.6666666666666666
110,10,NA,-2.2421644878318583,0.5
110,10,NA,-0.42912256917699115,0
110,10,NA,0.8463582874052864,0
110,50,1,-1.3527611886488888,1
110,50,1,-0.42912256917699115,1
110,50,1,0.07516619199555553,1
110,50,1,0.4568881645622222,1
110,50,1,0.8463582874052864,1
110,50,1,1.370355383663697,1
110,50,1,2.3996080321492204,1
110,50,NA,0.07516619199555553,1
110,50,NA,1.370355383663697,1
110,50,NA,2.3996080321492204,1
111,5,0,-2.2421644878318583,0
111,5,0,-1.3527611886488888,0.1111111111111111
111,5,0,-0.9292921247632744,0
111,5,0,-0.42912256917699115,0
111,5,0,-0.1847670895389755,0
111,5,0,0.4568881645622222,0
111,5,0,0.8463582874052864,0
111,5,1,-0.42912256917699115,0
111,5,1,-0.1847670895389755,1
111,5,NA,-2.2421644878318583,0
111,5,NA,-0.42912256917699115,0
111,10,0,-2.2421644878318583,0.25
111,10,0,-1.3527611886488888,1
111,10,0,-0.9292921247632744,0
111,10,0,-0.1847670895389755,0
111,10,0,0.07516619199555553,0.6
