m,se,region,glm,contrast,timepoint
0.0110547277030349,0.0147215733106536,MS,GLM_0S7.1,contr_1,1.9285714285714284
0.011409033921286,0.0147262187933709,MS,GLM_0S7.1,contr_1,2.0178571428571432
0.0118644974439988,0.0147604177766475,MS,GLM_0S7.1,contr_1,2.1071428571428568
0.0124156605432894,0.0148207659243455,MS,GLM_0S7.1,contr_1,2.196428571428571
0.0130550000380242,0.014902167971162,MS,GLM_0S7.1,contr_1,2.2857142857142856
0.0137706018509956,0.0149969806785531,MS,GLM_0S7.1,contr_1,2.375
0.0145470726227092,0.0150965081796666,MS,GLM_0S7.1,contr_1,2.4642857142857144
0.0153616675072141,0.015191458647132,MS,GLM_0S7.1,contr_1,2.553571428571429
0.016195291316105,0.0152725343786643,MS,GLM_0S7.1,contr_1,2.6428571428571432
0.0170330129819302,0.0153308001264687,MS,GLM_0S7.1,contr_1,2.7321428571428568
0.0178642184136225,0.0153583168215397,MS,GLM_0S7.1,contr_1,2.821428571428571
0.0186828731220636,0.0153475879177607,MS,GLM_0S7.1,contr_1,2.9107142857142856
0.0194764608461916,0.0152919244156098,MS,GLM_0S7.1,contr_1,3
0.0202237591567583,0.0151879306105359,MS,GLM_0S7.1,contr_1,3.0892857142857135
0.0208996557751648,0.0150340325436684,MS,GLM_0S7.1,contr_1,3.178571428571429
0.02147704990959,0.0148309316276446,MS,GLM_0S7.1,contr_1,3.2678571428571432
0.021934955984505,0.0145834490007599,MS,GLM_0S7.1,contr_1,3.3571428571428568
0.0222665867964984,0.014306175560848,MS,GLM_0S7.1,contr_1,3.446428571428571
0.0224667594529611,0.0140172776057921,MS,GLM_0S7.1,contr_1,3.5357142857142865
0.0225278131834082,0.013736444796414,MS,GLM_0S7.1,contr_1,3.625
0.0224411405865783,0.0134837332851628,MS,GLM_0S7.1,contr_1,3.7142857142857135
0.0222037074851581,0.0132781708088587,MS,GLM_0S7.1,contr_1,3.803571428571429
0.0218171843498142,0.013134986924855,MS,GLM_0S7.1,contr_1,3.8928571428571432
0.0212813253526775,0.0130630807415452,MS,GLM_0S7.1,contr_1,3.9821428571428568
0.0206024158552518,0.0130661726999214,MS,GLM_0S7.1,contr_1,4.071428571428571
0.0197959019976757,0.0131435463708724,MS,GLM_0S7.1,contr_1,4.1607142857142865
0.0188817971972579,0.0132898872235865,MS,GLM_0S7.1,contr_1,4.25
0.0178889365574705,0.0134948867156308,MS,GLM_0S7.1,contr_1,4.3392857142857135
