GLM,contrast,timelock,region,peak
GLM_04.1b,contr1,offer-timelocked,MS,0.0122510018568586
GLM_04.1b,contr1,offer-timelocked,MBD,-0.0478560400339919
GLM_04.1b,contr1,offer-timelocked,DRN,-0.0665922927626524
GLM_04.1b,contr1,offer-timelocked,LC,-0.0201783393796927
GLM_04.1b,contr1,offer-timelocked,MS,0.061996876579466
GLM_04.1b,contr1,offer-timelocked,MBD,-0.0952608620672998
GLM_04.1b,contr1,offer-timelocked,DRN,-0.153030152274852
GLM_04.1b,contr1,offer-timelocked,LC,-0.121510492076619
GLM_04.1b,contr1,offer-timelocked,MS,0.104684245976856
GLM_04.1b,contr1,offer-timelocked,MBD,-0.0542831751824844
GLM_04.1b,contr1,offer-timelocked,DRN,0.0109643665269864
GLM_04.1b,contr1,offer-timelocked,LC,0.0148901412899316
GLM_04.1b,contr1,offer-timelocked,MS,0.0796410263741734
GLM_04.1b,contr1,offer-timelocked,MBD,-0.0230141278897352
GLM_04.1b,contr1,offer-timelocked,DRN,-0.0412825473478341
GLM_04.1b,contr1,offer-timelocked,LC,-0.0172677776433362
GLM_04.1b,contr1,offer-timelocked,MS,0.0978007825289175
GLM_04.1b,contr1,offer-timelocked,MBD,-0.135404968873936
GLM_04.1b,contr1,offer-timelocked,DRN,-0.00400715873893383
GLM_04.1b,contr1,offer-timelocked,LC,0.0339201349706775
GLM_04.1b,contr1,offer-timelocked,MS,0.0716290694093936
GLM_04.1b,contr1,offer-timelocked,MBD,0.0623240122945312
GLM_04.1b,contr1,offer-timelocked,DRN,-0.0141766500289479
GLM_04.1b,contr1,offer-timelocked,LC,0.0849296873865695
GLM_04.1b,contr1,offer-timelocked,MS,0.057856729109094
GLM_04.1b,contr1,offer-timelocked,MBD,0.132140551599079
GLM_04.1b,contr1,offer-timelocked,DRN,-0.0461478298024872
GLM_04.1b,contr1,offer-timelocked,LC,0.0824461789733986
GLM_04.1b,contr1,offer-timelocked,MS,0.0273813931726076
GLM_04.1b,contr1,offer-timelocked,MBD,-0.0904909912512525
GLM_04.1b,contr1,offer-timelocked,DRN,0.0830375958519144
GLM_04.1b,contr1,offer-timelocked,LC,-0.0575636303292035
GLM_04.1b,contr1,offer-timelocked,MS,0.0278717233520989
GLM_04.1b,contr1,offer-timelocked,MBD,-0.0195383574556383
GLM_04.1b,contr1,offer-timelocked,DRN,-0.0263385556401653
GLM_04.1b,contr1,offer-timelocked,LC,-0.00371570514190002
GLM_04.1b,contr1,offer-timelocked,MS,0.0262905668602674
GLM_04.1b,contr1,offer-timelocked,MBD,0.0276220951238181
GLM_04.1b,contr1,offer-timelocked,DRN,0.053041501725318
GLM_04.1b,contr1,offer-timelocked,LC,0.0957673441297039
GLM_04.1b,contr1,offer-timelocked,MS,-0.0116113318009578
GLM_04.1b,contr1,offer-timelocked,MBD,-0.0406906434592033
GLM_04.1b,contr1,offer-timelocked,DRN,-0.0370281376859034
GLM_04.1b,contr1,offer-timelocked,LC,0.0689825570931762
GLM_04.1b,contr1,offer-timelocked,MS,-0.0388838549830781
GLM_04.1b,contr1,offer-timelocked,MBD,-0.057159923101905
GLM_04.1b,contr1,offer-timelocked,DRN,-0.00193561057100631
GLM_04.1b,contr1,offer-timelocked,LC,0.0290236949285726
GLM_04.1b,contr1,offer-timelocked,MS,0.00384807198746643
GLM_04.1b,contr1,offer-timelocked,MBD,-0.0402798005938982
GLM_04.1b,contr1,offer-timelocked,DRN,-0.0301401739277819
GLM_04.1b,contr1,offer-timelocked,LC,0.0733282887176265
GLM_04.1b,contr1,offer-timelocked,MS,-0.0724512350865681
GLM_04.1b,contr1,offer-timelocked,MBD,-0.0311490155831271
GLM_04.1b,contr1,offer-timelocked,DRN,-0.0799186800508924
GLM_04.1b,contr1,offer-timelocked,LC,0.029599821691462
GLM_04.1b,contr1,offer-timelocked,MS,-0.0014909764409256
GLM_04.1b,contr1,offer-timelocked,MBD,-0.0689819593742625
GLM_04.1b,contr1,offer-timelocked,DRN,-0.00257365394925739
GLM_04.1b,contr1,offer-timelocked,LC,0.146772072980524
GLM_04.1b,contr1,offer-timelocked,MS,-0.0241830986967058
GLM_04.1b,contr1,offer-timelocked,MBD,0.102246554299946
GLM_04.1b,contr1,offer-timelocked,DRN,0.00854445255019655
GLM_04.1b,contr1,offer-timelocked,LC,0.0550322801902197
GLM_04.1b,contr1,offer-timelocked,MS,-0.0318079421072049
GLM_04.1b,contr1,offer-timelocked,MBD,0.0710375115746826
GLM_04.1b,contr1,offer-timelocked,DRN,0.0454889732829149
GLM_04.1b,contr1,offer-timelocked,LC,0.00636913424117878
GLM_04.1b,contr1,offer-timelocked,MS,0.0578191713870006
GLM_04.1b,contr1,offer-timelocked,MBD,-0.0310669567772444
GLM_04.1b,contr1,offer-timelocked,DRN,-4.61724677684865e-4
GLM_04.1b,contr1,offer-timelocked,LC,-0.0484836085140413
GLM_04.1b,contr1,offer-timelocked,MS,-0.175926888028752
GLM_04.1b,contr1,offer-timelocked,MBD,-0.0264035509452572
GLM_04.1b,contr1,offer-timelocked,DRN,0.0404107985961078
GLM_04.1b,contr1,offer-timelocked,LC,-0.0314320977992419
GLM_04.1b,contr1,offer-timelocked,MS,-0.0137009098795513
GLM_04.1b,contr1,offer-timelocked,MBD,0.077535835608096
GLM_04.1b,contr1,offer-timelocked,DRN,-0.053655165440504
GLM_04.1b,contr1,offer-timelocked,LC,-0.0593664961812195
GLM_04.1b,contr1,offer-timelocked,MS,0.113896668455308
GLM_04.1b,contr1,offer-timelocked,MBD,-0.0722875581784918
GLM_04.1b,contr1,offer-timelocked,DRN,1.12232697856007e-4
GLM_04.1b,contr1,offer-timelocked,LC,0.00241497731975752
GLM_04.1b,contr1,offer-timelocked,MS,0.084125070959552
