subject,prev_policy,mu_val_graph,switch_type,switch_rate
107,0,-0.4974651735483871,(ii) Reject switch,0
107,0,-0.3343136202810458,(i) Pursue switch,0
107,0,-0.3343136202810458,(ii) Reject switch,0
107,0,0.2250369664935065,(i) Pursue switch,0
107,0,0.2250369664935065,(ii) Reject switch,0
107,0,0.3748124935443038,(i) Pursue switch,0
107,0,0.3748124935443038,(ii) Reject switch,0
107,0,0.7318152403618421,(i) Pursue switch,33.333333333333336
107,0,0.7318152403618421,(ii) Reject switch,0
107,0,1.1892047631217948,(i) Pursue switch,0
107,0,1.1892047631217948,(ii) Reject switch,0
107,0,1.8606858870849674,(i) Pursue switch,0
107,0,1.8606858870849674,(ii) Reject switch,0
107,1,-1.4610855521032258,(i) Pursue switch,0
107,1,-1.4610855521032258,(ii) Reject switch,0
107,1,-1.162296753525641,(i) Pursue switch,0
107,1,-1.162296753525641,(ii) Reject switch,50
107,1,-0.4974651735483871,(i) Pursue switch,0
107,1,-0.4974651735483871,(ii) Reject switch,66.66666666666666
107,1,0.2250369664935065,(i) Pursue switch,0
107,1,0.2250369664935065,(ii) Reject switch,100
107,1,0.3748124935443038,(i) Pursue switch,0
107,1,0.3748124935443038,(ii) Reject switch,100
107,1,0.7318152403618421,(i) Pursue switch,0
107,1,0.7318152403618421,(ii) Reject switch,100
107,NA,0.2250369664935065,(i) Pursue switch,0
107,NA,0.2250369664935065,(ii) Reject switch,NA
107,NA,0.7318152403618421,(i) Pursue switch,0
107,NA,0.7318152403618421,(ii) Reject switch,NA
107,NA,1.8606858870849674,(i) Pursue switch,0
107,NA,1.8606858870849674,(ii) Reject switch,NA
109,0,-1.4610855521032258,(i) Pursue switch,100
109,0,-1.4610855521032258,(ii) Reject switch,0
109,0,-0.6199381408193548,(i) Pursue switch,100
109,0,-0.6199381408193548,(ii) Reject switch,0
109,0,-0.4974651735483871,(i) Pursue switch,100
109,0,-0.4974651735483871,(ii) Reject switch,0
109,0,-0.3343136202810458,(i) Pursue switch,100
109,0,-0.3343136202810458,(ii) Reject switch,0
109,0,0.3748124935443038,(i) Pursue switch,100
109,0,0.3748124935443038,(ii) Reject switch,0
109,0,0.7318152403618421,(i) Pursue switch,0
109,0,0.7318152403618421,(ii) Reject switch,0
109,0,1.8606858870849674,(i) Pursue switch,100
109,0,1.8606858870849674,(ii) Reject switch,0
109,1,-1.4610855521032258,(i) Pursue switch,0
